NOMBRE EST.,BIC. DISPONIBLES,DIR.
92fc1ad7-0867-4655-b02f-ede65d336b14,17,4265
1814548067447122618,38,1814548067447122618
f34ea09d-32f9-492c-9124-99059bc0b5dd,16,4296
023cf549-bd85-4f9a-abd8-70ba29d7e86b,5,4515
41495491-5d89-4e14-aab9-c3db04aad399,30,4774
66de19ab-0aca-11e7-82f6-3863bb44ef7c,10,3354
83a5d761-57d0-4cd6-aa2b-7eb350120d99,17,4252
a47f77a2-9008-4652-a4f1-b95eee723a1b,9,3712
d979131e-0b9f-4aa2-88c5-46d4ff94abc8,5,4958
1786700154621508184,37,1786700154621508184
1835250442210857240,23,1835250442210857240
3e1bdcec-e762-4e83-b447-007f05923cce,23,3524
1846086362824884662,35,1846086362824884662
61f2ffd4-159a-42b3-a4d9-3fdfc3349074,11,3830
1848241684520917882,26,1848241684520917882
493e046c-5d62-4772-90c4-b6a9f4afcd39,11,3820
576abdc1-986e-48b0-bde2-051a13d3ff59,27,4772
8d650b03-920d-4d44-a48f-8d9a1a0ba264,14,4451
1b00fb53-da32-4b14-9a9a-84a391c8951c,43,3542
1bb1af93-b433-4da7-8054-009c85f7755a,3,4092
66de73fd-0aca-11e7-82f6-3863bb44ef7c,39,3430
66dbe96d-0aca-11e7-82f6-3863bb44ef7c,6,388
1d32e684-602b-46b6-8c96-ab47b57a03f3,9,3549
e9575102-1081-4c30-8d15-ea95913579e2,5,4931
66de0861-0aca-11e7-82f6-3863bb44ef7c,25,3325
ff9581d3-3e1a-463a-bdab-d8150c468be2,10,3513
b79c8433-9dd1-4d68-9156-7f2c2162bafe,45,4306
c80c55c4-d623-42d7-8acf-6bfa68a84ecb,20,4151
3134c2d4-b090-4eb8-ab44-6f9622098f72,4,4012
66dd056e-0aca-11e7-82f6-3863bb44ef7c,27,3094
038b7369-9c6e-4eb2-8569-f7461443302f,30,4912
bcb08532-f0d5-4c0e-ad8a-4ddacc204791,17,3833
66db6963-0aca-11e7-82f6-3863bb44ef7c,14,297
fda18503-7488-4b91-b74c-949a90401e83,24,4769
55a4dc76-d839-4e06-9bf4-2f343391343c,10,3888
d8778570-f7f2-458d-82f5-9ad39210a501,33,4333
66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,10,428
66de4959-0aca-11e7-82f6-3863bb44ef7c,29,3396
38af3d1a-9916-46cf-b22e-86fc8648bf30,7,4094
1838070843306263244,32,1838070843306263244
1822663031356509142,27,1822663031356509142
6cd10426-b4e9-40e1-9b35-61f609190ac0,13,3517
66dc3782-0aca-11e7-82f6-3863bb44ef7c,17,471
66de2199-0aca-11e7-82f6-3863bb44ef7c,32,3368
ad57266c-34da-43da-8b48-2ba856002fbf,12,3890
dd482585-3028-453f-a98d-55019db9b26c,30,3478
66dd46a2-0aca-11e7-82f6-3863bb44ef7c,37,3150
528ed1e0-75aa-45be-8afe-c3f1c950782f,20,4862
5a24acbb-94ef-4cb5-9db8-f6073ac26a2b,27,4302
bacfe3c2-7946-45ed-91f9-f5b91791de75,43,3503
4d24ab76-2f4a-4004-9fc5-09c00c1d9aa4,22,4380
1862788202397235246,22,1862788202397235246
1851674198082642572,22,1851674198082642572
b9720921-8170-43ea-a5ae-b61b9161eb49,8,4645
b35ba3c0-d3e8-4b1a-b63b-73a7bb518c9e,10,3891
f8c242cd-da59-4f0e-afd6-832bbdd7d328,17,4750
dccaeeb5-c53a-4f48-80e6-05675b71a8c8,23,3508
ffae66ec-7c16-436f-bd0a-eedf81d580e7,35,4581
5645b05e-85be-460d-8506-cacd20bff233,16,4416
2546c9b9-5b1a-4e9f-a9cc-f8b986b79748,7,4441
1861678548643203686,24,1861678548643203686
b713367c-3572-4225-b74a-9319ab537838,11,4631
a2cf5872-bd4c-4311-832e-d62fd779ecc3,26,5037
e85c3165-ad0a-44a3-9683-d8cf7575f465,34,4361
e152a2e1-c510-404e-a100-24246bb6cc95,19,4311
98ebf9c6-1d94-4e21-9007-c623875fdb5e,10,3957
1854538387432581604,21,1854538387432581604
1831178352265562334,37,1831178352265562334
d89dc10f-9be3-45a5-9c3c-06c04c963436,3,3887
1882824287789509296,29,1882824287789509296
66dd4c5f-0aca-11e7-82f6-3863bb44ef7c,9,3164
66dced76-0aca-11e7-82f6-3863bb44ef7c,22,3078
19d17911-1e4a-41fa-b62b-719aa0a6182e,11,4715
62b97c1e-9d06-4c5e-b9c3-d76099e37fe4,17,4618
c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,26,4748
96e72113-3681-4d19-88bb-032e76720093,4,4736
eb07bdfc-3a6f-40eb-96d2-0b92ac371619,9,5031
1814901062206225038,24,1814901062206225038
1848241791125254746,15,1848241791125254746
1869753057823626206,25,1869753057823626206
bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,9,4156
563389a0-d90f-4155-9c50-528459df26aa,5,4831
1828968883163894358,10,1828968883163894358
62f8f806-bd04-4282-9c5d-ad4293644e3c,4,4508
66de13dc-0aca-11e7-82f6-3863bb44ef7c,8,3345
4e9a1c3a-20e2-4fd5-b8de-fbf8d43e7bcc,19,5035
66dd4a52-0aca-11e7-82f6-3863bb44ef7c,28,3159
09dfc0e3-a448-477c-bb3c-9467dc51ef8d,11,3709
1f088432-0460-421e-a1d9-36890fa5396d,8,4142
18a2cbb6-91f2-4393-82fb-b40a8ba90f20,3,4062
0dd71c6d-11ee-4ad4-ba99-36b9ad36112c,4,4942
66db75cc-0aca-11e7-82f6-3863bb44ef7c,9,315
1d3a8670-09b3-4127-b750-af5311e565f0,16,4168
1875415144760576328,29,1875415144760576328
1835246937517543544,26,1835246937517543544
1838071008881986168,53,1838071008881986168
66dc10d1-0aca-11e7-82f6-3863bb44ef7c,31,432
66dde630-0aca-11e7-82f6-3863bb44ef7c,56,3296
1817822909864556798,4,1817822909864556798
837b7db3-55c6-4595-a497-834972631752,22,3901
1815968237323833702,23,1815968237323833702
66de25bd-0aca-11e7-82f6-3863bb44ef7c,69,3373
1846085734612252774,33,1846085734612252774
1860188747953293684,5,1860188747953293684
1096fc76-794e-4343-8eb0-0dd6c9a48266,18,4569
59b747c1-fbfb-4a3d-9394-8d06834d7c98,14,4459
655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,6,4112
66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,27,3053
f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,35,4493
3eb10c63-ea4c-4161-b07d-a29034f7367a,12,3950
66dce9b5-0aca-11e7-82f6-3863bb44ef7c,24,3075
a3d72b5b-9587-4f33-9722-c01e20a9b358,10,3842
3a89411a-0bc6-4ba3-bc56-fab950c8eba1,7,3770
c3062f44-c5b9-4650-a4ec-cc66cbf5b944,18,4578
1840504138040045682,7,1840504138040045682
f523c481-ba41-44ba-96e1-0c431fbea558,22,4766
90b141b9-c39f-4a26-a32d-08c7d1474d52,27,4144
66dde103-0aca-11e7-82f6-3863bb44ef7c,38,3284
1835246658344669972,13,1835246658344669972
66db277a-0aca-11e7-82f6-3863bb44ef7c,27,82
59df3823-0369-4a10-8132-05df34a170af,21,4593
66db3053-0aca-11e7-82f6-3863bb44ef7c,22,152
ca5cc034-a95d-446e-8314-6691589886b1,9,4860
a2ef8ed2-6031-4049-b7dc-9838ef39889b,19,4202
18eccc71-66be-4e4c-8335-095a9bf0df94,8,3629
bc5235a5-7f10-4a27-806e-9c25fa700959,42,3547
8aad788d-c7eb-4fca-a426-c39f47741a6f,15,5071
66ddb66e-0aca-11e7-82f6-3863bb44ef7c,15,3243
66dd2060-0aca-11e7-82f6-3863bb44ef7c,61,3115
77e31650-e86a-4b06-b2de-b92df2a7a7f5,31,4304
180b83a0-329c-4069-87be-df862cb1baed,18,4378
66db2a71-0aca-11e7-82f6-3863bb44ef7c,36,127
66dc0dab-0aca-11e7-82f6-3863bb44ef7c,73,422
1dacb0f6-29f5-4d1b-b910-92ffa5b4ca5d,6,3584
ed279ef2-52ee-4ff2-9a52-edd8137ea034,27,4779
66dc1d80-0aca-11e7-82f6-3863bb44ef7c,53,448
bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,66,4425
1815967442754883940,35,1815967442754883940
4f814d78-5d8d-458b-877e-2ca449b865be,6,4014
2ebbe93b-a013-464a-b4a5-0eba96f89676,17,4852
0f98907a-d4cc-45e0-b174-7d9dfda74106,1,4303
457ea5d7-d643-4028-87db-46dee0b81555,41,3856
44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,17,4160
cbf76774-1276-4cf8-9442-f00571f1451c,47,4225
6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,2,4157
754ac5df-f2b5-4636-8c58-ed84ea262bde,2,4603
eb217a2c-1dd0-4690-a34e-ecc1a708f883,30,4424
c2d549f8-f54c-4a0d-9ecd-6e6f79118279,28,5013
068b919c-f649-4091-8e12-ccf37191cad5,3,4213
66dbe15d-0aca-11e7-82f6-3863bb44ef7c,30,372
7aa86431-bbc5-4d9c-8198-9630c9d32a22,20,4367
66dbc420-0aca-11e7-82f6-3863bb44ef7c,38,350
517409d3-a94a-4140-a6de-ff0de9221ed2,4,3983
66dbef15-0aca-11e7-82f6-3863bb44ef7c,13,398
1860189327773878824,32,1860189327773878824
66db9e99-0aca-11e7-82f6-3863bb44ef7c,26,341
6e5a8cab-cf1a-4584-8133-01835b56ad71,17,4166
fbaffdbd-dab5-4127-9bd5-36bf58093ea8,31,4832
66de0cab-0aca-11e7-82f6-3863bb44ef7c,39,3333
1862008939006380034,16,1862008939006380034
1851254468343716806,20,1851254468343716806
943a1a27-1328-4823-8945-28d845280383,33,4447
66dc8a3d-0aca-11e7-82f6-3863bb44ef7c,17,537
ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,2,3824
